"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",101238873,101239367,495,"*","Promoter",1,101238335,101241308,2974,1,"1901","ENST00000648480.1",538
"2","chr1",10682975,10683210,236,"*","Intron (ENST00000377022.8/54897, intron 4 of 20)",1,10660737,10693912,33176,2,"54897","ENST00000478728.2",10702
"3","chr1",10685267,10685589,323,"*","Intron (ENST00000377022.8/54897, intron 4 of 20)",1,10660737,10693912,33176,2,"54897","ENST00000478728.2",8323
"4","chr1",109499997,109500364,368,"*","3' UTR",1,109494115,109500440,6326,1,"284613","ENST00000430195.2",5882
"5","chr1",110063786,110064149,364,"*","Promoter",1,110060397,110064924,4528,2,"257","ENST00000649954.1",775
"6","chr1",110067137,110067445,309,"*","Intron (ENST00000473429.5/85369, intron 12 of 13)",1,110060397,110064924,4528,2,"257","ENST00000649954.1",-2213
"7","chr1",11023238,11023449,212,"*","Promoter",1,11023323,11024152,830,1,"23435","ENST00000617757.1",0
"8","chr1",110341549,110341885,337,"*","Exon (ENST00000652747.1/64783, exon 1 of 2)",1,110339466,110346677,7212,1,"64783","ENST00000617047.1",2083
"9","chr1",110341944,110342227,284,"*","Exon (ENST00000652747.1/64783, exon 1 of 2)",1,110339466,110346677,7212,1,"64783","ENST00000617047.1",2478
"10","chr1",110881642,110882261,620,"*","Intron (ENST00000648608.1/963, intron 2 of 8)",1,110880237,110899514,19278,1,"963","ENST00000476408.1",1405
"11","chr1",110887570,110888386,817,"*","Intron (ENST00000648608.1/963, intron 2 of 8)",1,110894309,110899851,5543,1,"963","ENST00000497404.1",-5923
"12","chr1",110890038,110890422,385,"*","Intron (ENST00000648608.1/963, intron 2 of 8)",1,110894309,110899851,5543,1,"963","ENST00000497404.1",-3887
"13","chr1",110891449,110891671,223,"*","Exon (ENST00000648608.1/963, exon 3 of 9)",1,110894309,110899851,5543,1,"963","ENST00000497404.1",-2638
