"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",100058365,100058566,202,"*","Promoter",1,100058671,100062115,3445,1,"64645","ENST00000421661.1",-105
"2","chr1",100082072,100082400,329,"*","3' UTR",1,100058671,100062115,3445,1,"64645","ENST00000421661.1",23401
"3","chr1",100904827,100905029,203,"*","Intron (ENST00000370112.8/148867, intron 2 of 11)",1,100896090,100981757,85668,1,"148867","ENST00000357650.9",8737
"4","chr1",101457643,101457867,225,"*","Distal Intergenic",1,101350049,101390303,40255,1,"104355286","ENST00000444327.1",107594
"5","chr1",1026785,1026956,172,"*","Intron (ENST00000379370.7/375790, intron 2 of 35)",1,1020123,1056118,35996,1,"375790","ENST00000620552.4",6662
"6","chr1",1032030,1032934,905,"*","Intron (ENST00000379370.7/375790, intron 2 of 35)",1,1034106,1056116,22011,1,"375790","ENST00000651234.1",-1172
"7","chr1",1033149,1033536,388,"*","Promoter",1,1034106,1056116,22011,1,"375790","ENST00000651234.1",-570
"8","chr1",1033988,1034291,304,"*","Promoter",1,1034106,1056116,22011,1,"375790","ENST00000651234.1",0
"9","chr1",1038151,1038439,289,"*","Intron (ENST00000379370.7/375790, intron 3 of 35)",1,1034867,1041397,6531,1,"375790","ENST00000469403.1",3284
"10","chr1",1039999,1040818,820,"*","Exon (ENST00000379370.7/375790, exon 4 of 36)",1,1045399,1046349,951,1,"375790","ENST00000479707.1",-4581
"11","chr1",1041203,1041861,659,"*","Exon (ENST00000379370.7/375790, exon 5 of 36)",1,1045399,1046349,951,1,"375790","ENST00000479707.1",-3538
"12","chr1",1041969,1042342,374,"*","Exon (ENST00000379370.7/375790, exon 7 of 36)",1,1045399,1046349,951,1,"375790","ENST00000479707.1",-3057
"13","chr1",1042584,1042931,348,"*","Intron (ENST00000379370.7/375790, intron 7 of 35)",1,1045399,1046349,951,1,"375790","ENST00000479707.1",-2468
"14","chr1",1043302,1044548,1247,"*","Promoter",1,1045399,1046349,951,1,"375790","ENST00000479707.1",-851
"15","chr1",1049217,1049476,260,"*","Promoter",1,1048529,1049394,866,1,"375790","ENST00000492947.1",688
"16","chr1",1053096,1053299,204,"*","Exon (ENST00000461111.1/375790, exon 1 of 3)",1,1051986,1056112,4127,1,"375790","ENST00000461111.1",1110
"17","chr1",107100697,107100922,226,"*","Distal Intergenic",1,107140007,107481849,341843,1,"22854","ENST00000370073.6",-39085
"18","chr1",10794458,10794731,274,"*","Intron (ENST00000377022.8/54897, intron 1 of 20)",1,10636604,10796646,160043,2,"54897","ENST00000377022.8",1915
"19","chr1",108313554,108313811,258,"*","Intron (ENST00000411846.6/ENST00000411846.6, intron 2 of 5)",1,108223705,108244081,20377,2,"148545","ENST00000613157.2",-69473
"20","chr1",108694908,108695153,246,"*","Intron (ENST00000370025.9/55119, intron 1 of 5)",1,108697700,108699385,1686,1,"55119","ENST00000485810.1",-2547
"21","chr1",109560034,109560225,192,"*","Intron (ENST00000369851.7/2773, intron 1 of 8)",1,109548615,109600195,51581,1,"2773","ENST00000369851.7",11419
"22","chr1",109563078,109563403,326,"*","Intron (ENST00000369851.7/2773, intron 1 of 8)",1,109548615,109600195,51581,1,"2773","ENST00000369851.7",14463
"23","chr1",109570706,109571521,816,"*","Intron (ENST00000369851.7/2773, intron 1 of 8)",1,109548615,109600195,51581,1,"2773","ENST00000369851.7",22091
