"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",100036854,100038037,1184,"*","Promoter",1,100038095,100083377,45283,1,"64645","ENST00000370152.8",-58
"2","chr1",100038108,100039448,1341,"*","Promoter",1,100038095,100083377,45283,1,"64645","ENST00000370152.8",13
"3","chr1",100131981,100133052,1072,"*","Promoter",1,100083563,100132955,49393,2,"163786","ENST00000462159.1",0
"4","chr1",100133139,100133901,763,"*","Promoter",1,100133150,100140540,7391,1,"54482","ENST00000370143.5",0
"5","chr1",100246809,100247093,285,"*","Intron (ENST00000648283.1/ENST00000648283.1, intron 1 of 2)",1,100210543,100249820,39278,2,"1629","ENST00000370131.3",2727
"6","chr1",100248859,100249834,976,"*","Promoter",1,100186919,100249834,62916,2,"1629","ENST00000370132.8",0
"7","chr1",100265642,100266126,485,"*","Promoter",1,100264009,100266120,2112,2,"100506007","ENST00000421185.1",0
"8","chr1",100266212,100267271,1060,"*","Promoter",1,100266216,100274843,8628,1,"8634","ENST00000498617.5",0
"9","chr1",10032364,10032556,193,"*","Promoter",1,10032832,10180367,147536,1,"10277","ENST00000253251.12",-276
"10","chr1",10033024,10034353,1330,"*","Promoter",1,10033274,10073118,39845,1,"10277","ENST00000377153.5",0
"11","chr1",10034617,10034860,244,"*","Intron (ENST00000253251.12/10277, intron 1 of 26)",1,10033274,10073118,39845,1,"10277","ENST00000377153.5",1343
"12","chr1",100351244,100352196,953,"*","Promoter",1,100351698,100499460,147763,1,"8556","ENST00000644676.1",0
"13","chr1",100352510,100353734,1225,"*","Promoter",1,100352949,100518293,165345,1,"8556","ENST00000644813.1",0
"14","chr1",100612035,100612202,168,"*","Distal Intergenic",1,100627049,100640613,13565,2,"100128787","ENST00000416343.2",28411
"15","chr1",100820181,100820352,172,"*","Distal Intergenic",1,100874160,100894664,20505,2,"2135","ENST00000450240.2",74312
"16","chr1",100894094,100894351,258,"*","Promoter",1,100874160,100894664,20505,2,"2135","ENST00000450240.2",313
