"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",100132333,100132625,293,"*","Promoter",1,100083570,100132930,49361,2,"163786","ENST00000287482.6",305
"2","chr1",100132702,100132930,229,"*","Promoter",1,100083570,100132930,49361,2,"163786","ENST00000287482.6",0
"3","chr1",100133189,100133722,534,"*","Promoter",1,100133215,100140812,7598,1,"54482","ENST00000370139.1",0
"4","chr1",100249485,100249789,305,"*","Promoter",1,100210543,100249820,39278,2,"1629","ENST00000370131.3",31
"5","chr1",100249964,100250732,769,"*","Promoter",1,100186919,100249834,62916,2,"1629","ENST00000370132.8",-130
"6","chr1",100265327,100266148,822,"*","Promoter",1,100258354,100266136,7783,2,"100506007","ENST00000670421.2",0
"7","chr1",10032093,10032555,463,"*","Promoter",1,10032832,10180367,147536,1,"10277","ENST00000253251.12",-277
"8","chr1",100349325,100349733,409,"*","Intron (ENST00000644844.1/8556, intron 1 of 15)",1,100351698,100499460,147763,1,"8556","ENST00000644676.1",-1965
"9","chr1",100350824,100352293,1470,"*","Promoter",1,100351698,100499460,147763,1,"8556","ENST00000644676.1",0
"10","chr1",100400482,100400807,326,"*","Intron (ENST00000644844.1/8556, intron 4 of 15)",1,100423732,100443114,19383,1,"8556","ENST00000469387.1",-22925
"11","chr1",100535283,100535574,292,"*","Distal Intergenic",1,100538139,100542021,3883,1,"54112","ENST00000315033.5",-2565
"12","chr1",100576416,100576762,347,"*","Distal Intergenic",1,100538139,100542021,3883,1,"54112","ENST00000315033.5",38277
"13","chr1",100657882,100658264,383,"*","Distal Intergenic",1,100627049,100640613,13565,2,"100128787","ENST00000416343.2",-17269
"14","chr1",100685650,100685861,212,"*","Distal Intergenic",1,100719742,100738613,18872,1,"7412","ENST00000370119.8",-33881
"15","chr1",100709436,100709808,373,"*","Distal Intergenic",1,100719742,100738613,18872,1,"7412","ENST00000370119.8",-9934
"16","chr1",100731922,100732432,511,"*","3' UTR",1,100719764,100739038,19275,1,"7412","ENST00000370115.1",12158
"17","chr1",100894298,100894777,480,"*","Promoter",1,100874160,100894664,20505,2,"2135","ENST00000450240.2",0
"18","chr1",100894904,100895677,774,"*","Promoter",1,100872372,100895179,22808,2,"2135","ENST00000535414.5",0
