"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",1000229,1002298,2070,"*","Promoter",1,1001138,1014540,13403,1,"9636","ENST00000624697.4",0
"2","chr1",1003157,1003891,735,"*","Intron (ENST00000624697.4/9636, intron 1 of 2)",1,1001145,1014435,13291,1,"9636","ENST00000624652.1",2012
"3","chr1",100535507,100542383,6877,"*","Promoter",1,100538139,100542021,3883,1,"54112","ENST00000315033.5",0
"4","chr1",100847942,100848706,765,"*","Distal Intergenic",1,100874160,100894664,20505,2,"2135","ENST00000450240.2",45958
"5","chr1",100848893,100849677,785,"*","Distal Intergenic",1,100874160,100894664,20505,2,"2135","ENST00000450240.2",44987
"6","chr1",100849745,100850327,583,"*","Distal Intergenic",1,100874160,100894664,20505,2,"2135","ENST00000450240.2",44337
"7","chr1",101234717,101236572,1856,"*","Promoter",1,101234555,101236624,2070,2,"101928370","ENST00000432195.2",52
"8","chr1",101236910,101237991,1082,"*","Promoter",1,101237019,101241518,4500,1,"1901","ENST00000305352.7",0
"9","chr1",101238061,101238758,698,"*","Promoter",1,101238090,101241372,3283,1,"1901","ENST00000475289.2",0
"10","chr1",1034293,1035138,846,"*","Promoter",1,1034867,1041397,6531,1,"375790","ENST00000469403.1",0
"11","chr1",1038590,1040716,2127,"*","Exon (ENST00000379370.7/375790, exon 4 of 36)",1,1034867,1041397,6531,1,"375790","ENST00000469403.1",3723
"12","chr1",103940391,103944759,4369,"*","Distal Intergenic",1,104072983,104126914,53932,1,"100129138","ENST00000634580.1",-128224
"13","chr1",104480304,104480837,534,"*","Distal Intergenic",1,104073851,104125845,51995,1,"100129138","ENST00000634997.1",406453
"14","chr1",104483185,104483652,468,"*","Distal Intergenic",1,104073851,104125845,51995,1,"100129138","ENST00000634997.1",409334
"15","chr1",104484293,104488530,4238,"*","Distal Intergenic",1,104073851,104125845,51995,1,"100129138","ENST00000634997.1",410442
"16","chr1",104488863,104493627,4765,"*","Distal Intergenic",1,104073851,104125845,51995,1,"100129138","ENST00000634997.1",415012
"17","chr1",104494316,104494717,402,"*","Distal Intergenic",1,104073851,104125845,51995,1,"100129138","ENST00000634997.1",420465
"18","chr1",1058221,1059301,1081,"*","Promoter",1,1059687,1066449,6763,1,"100288175","ENST00000688131.1",-386
"19","chr1",1060047,1060854,808,"*","Promoter",1,1059734,1066441,6708,1,"100288175","ENST00000692266.1",313
"20","chr1",106086926,106089141,2216,"*","Intron (ENST00000634868.1/107985116, intron 5 of 5)",1,106038547,106124564,86018,1,"107985116","ENST00000634868.1",48379
"21","chr1",106089370,106090372,1003,"*","Intron (ENST00000634868.1/107985116, intron 5 of 5)",1,106038547,106124564,86018,1,"107985116","ENST00000634868.1",50823
"22","chr1",106090420,106090992,573,"*","Intron (ENST00000634868.1/107985116, intron 5 of 5)",1,106038547,106124564,86018,1,"107985116","ENST00000634868.1",51873
"23","chr1",106091176,106091693,518,"*","Intron (ENST00000634868.1/107985116, intron 5 of 5)",1,106038547,106124564,86018,1,"107985116","ENST00000634868.1",52629
"24","chr1",1061120,1061704,585,"*","Intron (ENST00000688131.1/100288175, intron 2 of 4)",1,1063079,1069355,6277,1,"100288175","ENST00000412397.2",-1375
"25","chr1",10637773,10638862,1090,"*","3' UTR",1,10642082,10645076,2995,2,"54897","ENST00000447850.3",6214
"26","chr1",10639327,10640666,1340,"*","Exon (ENST00000606802.1/ENST00000606802.1, exon 1 of 2)",1,10642082,10645076,2995,2,"54897","ENST00000447850.3",4410
"27","chr1",10650392,10651165,774,"*","Promoter",1,10650484,10651100,617,2,"54897","ENST00000490176.1",0
"28","chr1",10704875,10705487,613,"*","Promoter",1,10704196,10705575,1380,2,"54897","ENST00000472814.1",88
"29","chr1",10792500,10796405,3906,"*","Promoter",1,10636604,10796646,160043,2,"54897","ENST00000377022.8",241
"30","chr1",107962419,107964474,2056,"*","Promoter",1,107964443,107994607,30165,1,"100873946","ENST00000438318.1",0
"31","chr1",108661411,108662661,1251,"*","Promoter",1,108661533,108666246,4714,1,"105378890","ENST00000648569.1",0
"32","chr1",10867378,10867999,622,"*","Distal Intergenic",1,10647213,10796650,149438,2,"54897","ENST00000344008.5",-70728
"33","chr1",108877685,108878696,1012,"*","Promoter",1,108877256,108897032,19777,1,"29899","ENST00000435475.5",429
"34","chr1",10889088,10890102,1015,"*","Distal Intergenic",1,10946475,10947870,1396,2,"148345","ENST00000468348.1",57768
"35","chr1",109112940,109116171,3232,"*","Promoter",1,109105951,109113844,7894,2,"127003","ENST00000462402.5",0
"36","chr1",109250108,109251020,913,"*","Promoter",1,109249539,109275751,26213,1,"1952","ENST00000271332.4",569
"37","chr1",109463114,109467187,4074,"*","Promoter",1,109466546,109482134,15589,1,"284612","ENST00000369872.4",0
"38","chr1",109467299,109469559,2261,"*","Promoter",1,109466546,109482134,15589,1,"284612","ENST00000369872.4",753
"39","chr1",109510465,109511042,578,"*","Promoter",1,109507068,109509738,2671,2,"57463","ENST00000369862.1",-727
"40","chr1",109738500,109740136,1637,"*","Promoter",1,109736976,109740301,3326,2,"2947","ENST00000488824.1",165
"41","chr1",109740552,109741639,1088,"*","Promoter",1,109733937,109741038,7102,2,"2947","ENST00000361066.7",0
"42","chr1",109909338,109910857,1520,"*","Promoter",1,109910242,109921880,11639,1,"1435","ENST00000527192.5",0
"43","chr1",109911322,109911680,359,"*","Promoter",1,109910986,109925198,14213,1,"1435","ENST00000369801.1",336
"44","chr1",110064938,110066563,1626,"*","Promoter",1,110060397,110064924,4528,2,"257","ENST00000649954.1",-14
"45","chr1",110066629,110075225,8597,"*","Promoter",1,110059870,110070672,10803,2,"257","ENST00000647563.2",0
"46","chr1",110080918,110081615,698,"*","Distal Intergenic",1,110082651,110083894,1244,1,"104355139","ENST00000702814.1",-1036
"47","chr1",110081728,110088385,6658,"*","Promoter",1,110082651,110083894,1244,1,"104355139","ENST00000702814.1",0
"48","chr1",110129528,110131036,1509,"*","Distal Intergenic",1,110112443,110113947,1505,1,"164153","ENST00000334179.5",17085
"49","chr1",110145131,110146272,1142,"*","Distal Intergenic",1,110150494,110202202,51709,1,"388662","ENST00000331565.5",-4222
"50","chr1",110146381,110147335,955,"*","Distal Intergenic",1,110150494,110202202,51709,1,"388662","ENST00000331565.5",-3159
"51","chr1",110147415,110148252,838,"*","Distal Intergenic",1,110150494,110202202,51709,1,"388662","ENST00000331565.5",-2242
"52","chr1",110148309,110154359,6051,"*","Promoter",1,110150494,110202202,51709,1,"388662","ENST00000331565.5",0
"53","chr1",110155298,110155960,663,"*","Intron (ENST00000331565.5/388662, intron 1 of 11)",1,110150494,110202202,51709,1,"388662","ENST00000331565.5",4804
"54","chr1",110210841,110213173,2333,"*","Promoter",1,110211343,110224083,12741,1,"3749","ENST00000489935.1",0
"55","chr1",110554176,110557621,3446,"*","Exon (ENST00000640450.1/ENST00000640450.1, exon 3 of 3)",1,110517217,110519175,1959,2,"3744","ENST00000369771.4",-35001
"56","chr1",110572417,110573649,1233,"*","Intron (ENST00000640680.1/3737, intron 3 of 8)",1,110603061,110605571,2511,2,"3737","ENST00000640956.1",31922
"57","chr1",110573844,110575790,1947,"*","Exon (ENST00000639227.1/ENST00000639227.1, exon 3 of 3)",1,110603061,110605571,2511,2,"3737","ENST00000640956.1",29781
"58","chr1",110576640,110577211,572,"*","Exon (ENST00000640680.1/3737, exon 3 of 9)",1,110603061,110605571,2511,2,"3737","ENST00000640956.1",28360
"59","chr1",110577327,110577757,431,"*","Intron (ENST00000640680.1/3737, intron 2 of 8)",1,110603061,110605571,2511,2,"3737","ENST00000640956.1",27814
"60","chr1",110578617,110579256,640,"*","Intron (ENST00000640680.1/3737, intron 2 of 8)",1,110603061,110605571,2511,2,"3737","ENST00000640956.1",26315
"61","chr1",110579618,110580001,384,"*","Intron (ENST00000640680.1/3737, intron 2 of 8)",1,110603061,110605571,2511,2,"3737","ENST00000640956.1",25570
"62","chr1",110603918,110611419,7502,"*","Promoter",1,110519837,110606354,86518,2,"3737","ENST00000640680.1",0
"63","chr1",110619583,110620708,1126,"*","Promoter",1,110615408,110621257,5850,2,"3737","ENST00000674674.1",549
"64","chr1",110671563,110674679,3117,"*","Promoter",1,110653560,110674930,21371,2,"3738","ENST00000685980.2",251
"65","chr1",110675194,110677883,2690,"*","Promoter",1,110672465,110674940,2476,2,"3738","ENST00000369769.4",-254
"66","chr1",110780067,110780629,563,"*","Distal Intergenic",1,110871188,110899922,28735,1,"963","ENST00000648608.1",-90559
"67","chr1",111202831,111205839,3009,"*","Promoter",1,111187174,111204409,17236,2,"79961","ENST00000369752.5",0
"68","chr1",1117293,1117840,548,"*","Promoter",1,1087190,1116361,29172,2,"54991","ENST00000475119.5",-932
"69","chr1",111985630,111989674,4045,"*","Promoter",1,111770662,111989668,219007,2,"3752","ENST00000302127.5",0
"70","chr1",111989803,111991537,1735,"*","Promoter",1,111990536,111998842,8307,1,"643355","ENST00000438293.1",0
"71","chr1",111991743,111992218,476,"*","Intron (ENST00000438293.1/643355, intron 1 of 1)",1,111990536,111998842,8307,1,"643355","ENST00000438293.1",1207
"72","chr1",112465534,112466060,527,"*","Promoter",1,112466541,112521283,54743,1,"7482","ENST00000256640.9",-481
"73","chr1",112500331,112505761,5431,"*","Intron (ENST00000256640.9/7482, intron 1 of 4)",1,112508965,112530165,21201,1,"7482","ENST00000369684.5",-3204
"74","chr1",112505938,112507996,2059,"*","Promoter",1,112508965,112530165,21201,1,"7482","ENST00000369684.5",-969
"75","chr1",112508033,112512734,4702,"*","Promoter",1,112508965,112530165,21201,1,"7482","ENST00000369684.5",0
"76","chr1",112675774,112676186,413,"*","Promoter",1,112675486,112696782,21297,1,"4343","ENST00000686923.1",288
"77","chr1",112713506,112714458,953,"*","Promoter",1,112709994,112715255,5262,2,"333926","ENST00000471106.5",797
"78","chr1",112714678,112715107,430,"*","Promoter",1,112709994,112715255,5262,2,"333926","ENST00000471106.5",148
"79","chr1",112719056,112719466,411,"*","Promoter",1,112718905,112727235,8331,1,"284467","ENST00000361886.4",151
"80","chr1",112742726,112745992,3267,"*","Distal Intergenic",1,112720419,112727235,6817,1,"284467","ENST00000369630.7",22307
"81","chr1",114153070,114154476,1407,"*","Promoter",1,114089291,114153868,64578,2,"148281","ENST00000610121.5",0
"82","chr1",114300928,114301337,410,"*","Distal Intergenic",1,114206427,114262278,55852,2,"107985443","ENST00000420156.2",-38650
"83","chr1",11477399,11478618,1220,"*","Promoter",1,11479155,11537551,58397,1,"57540","ENST00000294484.7",-537
"84","chr1",114781450,114782533,1084,"*","Promoter",1,114779107,114780685,1579,2,"80143","ENST00000466657.1",-765
"85","chr1",11479759,11480170,412,"*","Promoter",1,11479166,11481960,2795,1,"57540","ENST00000423056.2",593
"86","chr1",114854018,114855983,1966,"*","Promoter",1,114854863,114995370,140508,1,"6847","ENST00000369522.8",0
"87","chr1",115336401,115337169,769,"*","Intron (ENST00000425449.1/112840934, intron 1 of 1)",1,115285917,115338249,52333,2,"4803","ENST00000369512.3",1080
"88","chr1",115337785,115338263,479,"*","Promoter",1,115285904,115338256,52353,2,"4803","ENST00000676038.2",0
"89","chr1",115338302,115340676,2375,"*","Promoter",1,115285917,115338770,52854,2,"4803","ENST00000679806.1",0
"90","chr1",115564476,115565451,976,"*","Exon (ENST00000441051.1/ENST00000441051.1, exon 1 of 1)",1,115641970,115698221,56252,1,"81839","ENST00000355485.7",-76519
"91","chr1",115827434,115828675,1242,"*","Distal Intergenic",1,115838052,115840741,2690,2,"4808","ENST00000429731.1",12066
"92","chr1",115836458,115838901,2444,"*","5' UTR",1,115838052,115840741,2690,2,"4808","ENST00000429731.1",1840
"93","chr1",115839799,115840713,915,"*","Promoter",1,115838052,115840741,2690,2,"4808","ENST00000429731.1",28
"94","chr1",115840780,115841626,847,"*","Promoter",1,115836377,115841126,4750,2,"4808","ENST00000320238.3",0
"95","chr1",116166957,116167632,676,"*","Exon (ENST00000426515.2/107985190, exon 2 of 2)",1,116164209,116167494,3286,1,"107985190","ENST00000426515.2",2748
"96","chr1",116665708,116667294,1587,"*","Promoter",1,116577220,116666431,89212,2,"3321","ENST00000318837.6",0
"97","chr1",117604110,117605257,1148,"*","Promoter",1,117604624,117605685,1062,2,"100996263","ENST00000456126.1",428
"98","chr1",117606520,117607685,1166,"*","Promoter",1,117606048,117628389,22342,1,"54855","ENST00000369448.4",472
"99","chr1",117607864,117609117,1254,"*","Intron (ENST00000369448.4/54855, intron 1 of 1)",1,117606048,117628389,22342,1,"54855","ENST00000369448.4",1816
"100","chr1",11761018,11762720,1703,"*","Promoter",1,11761787,11789584,27798,1,"284498","ENST00000433342.6",0
"101","chr1",11763250,11763735,486,"*","Intron (ENST00000433342.6/284498, intron 1 of 20)",1,11762193,11789585,27393,1,"284498","ENST00000688073.1",1057
"102","chr1",11858323,11859353,1031,"*","Promoter",1,11857464,11858945,1482,2,"4879","ENST00000376468.4",0
"103","chr1",118752909,118754997,2089,"*","Distal Intergenic",1,118883047,118914125,31079,2,"6913","ENST00000449873.5",159128
"104","chr1",118975484,118976162,679,"*","Intron (ENST00000207157.7/6913, intron 1 of 7)",1,118883047,118988343,105297,2,"6913","ENST00000369429.5",12181
"105","chr1",118976924,119009380,32457,"*","Promoter",1,119000344,119001392,1049,2,"105378933","ENST00000439394.1",0
"106","chr1",120133200,120134342,1143,"*","Distal Intergenic",1,120157291,120160501,3211,2,"9554","ENST00000618538.1",26159
"107","chr1",120135323,120136097,775,"*","Distal Intergenic",1,120157291,120160501,3211,2,"9554","ENST00000618538.1",24404
"108","chr1",120136363,120136634,272,"*","Distal Intergenic",1,120157291,120160501,3211,2,"9554","ENST00000618538.1",23867
"109","chr1",120197042,120197816,775,"*","Exon (ENST00000612320.1/ENST00000612320.1, exon 1 of 6)",1,120150898,120176520,25623,2,"9554","ENST00000578049.4",-20522
